customer_id,session_id,interaction_type,product_id,category,location,browsing_history,cart_items,saved_for_later,purchase_status,purchase_date,discounted,feedback_rating,preferred_categories
customer1,65,online,P0415,Clothing,New York,"['Electronics', 'Books', 'Electronics', 'Home Decor']","['P0114', 'P0156']",['P0362'],Purchased,2024-04-19,True,1,Clothing
customer1,41,online,P0229,Home Decor,New York,['Clothing'],['P0301'],[],Not Purchased,2024-10-03,True,4,Electronics
customer1,67,online,P0418,Clothing,San Francisco,"['Electronics', 'Groceries', 'Home Decor', 'Home Decor']","['P0133', 'P0385']","['P0417', 'P0443']",Purchased,2024-11-16,True,,Books
customer1,86,online,P0304,Electronics,,"['Electronics', 'Clothing']","['P0282', 'P0473']",['P0494'],Purchased,2024-12-14,True,3,Electronics
customer1,72,offline,P0411,Groceries,,"['Groceries', 'Home Decor', 'Electronics']",['P0310'],"['P0290', 'P0176']",Purchased,2024-01-18,False,1,Electronics
customer1,91,online,P0252,Clothing,Chicago,"['Clothing', 'Groceries', 'Groceries']","['P0176', 'P0313', 'P0483']",['P0145'],Not Purchased,2024-06-20,True,4,Books
customer1,64,offline,P0230,Books,Chicago,"['Groceries', 'Electronics', 'Groceries']",['P0127'],"['P0455', 'P0152']",Purchased,2024-07-01,False,1,Books
customer1,78,offline,P0005,Home Decor,New York,"['Clothing', 'Books', 'Electronics']","['P0262', 'P0051']",[],Not Purchased,2024-06-26,False,2,Clothing
customer1,77,online,P0005,Home Decor,New York,"['Clothing', 'Books', 'Home Decor']",['P0228'],['P0223'],Purchased,2024-12-15,False,5,Books
customer1,2,offline,P0306,Home Decor,,['Groceries'],"['P0295', 'P0355', 'P0289']","['P0249', 'P0315']",Purchased,2024-04-13,False,2,Clothing
customer1,73,online,P0411,Groceries,New York,"['Books', 'Books', 'Clothing']",['P0370'],[],Purchased,2024-05-20,False,,Books
customer1,94,online,P0433,Home Decor,San Francisco,"['Groceries', 'Groceries', 'Books', 'Books']",['P0429'],[],Purchased,2024-12-27,False,,Home Decor
customer1,76,online,P0228,Clothing,San Francisco,"['Home Decor', 'Electronics', 'Electronics']","['P0142', 'P0220', 'P0308']","['P0480', 'P0151']",Not Purchased,2024-05-05,True,4,Electronics
customer1,23,offline,P0467,Electronics,,['Clothing'],['P0085'],['P0276'],Not Purchased,2024-06-10,False,1,Books
customer1,12,online,P0190,Home Decor,Chicago,"['Groceries', 'Clothing']",['P0030'],[],Not Purchased,2024-03-23,True,4,Clothing
customer1,6,offline,P0210,Clothing,,"['Electronics', 'Clothing', 'Home Decor', 'Clothing']","['P0262', 'P0019']",[],Not Purchased,2024-12-22,False,4,Clothing
customer1,25,online,P0391,Home Decor,Los Angeles,"['Groceries', 'Books']","['P0225', 'P0430', 'P0471']","['P0484', 'P0292']",Not Purchased,2024-09-14,False,3,Clothing
customer1,97,online,P0080,Groceries,Chicago,"['Books', 'Clothing', 'Groceries', 'Books']",['P0102'],"['P0475', 'P0058']",Not Purchased,2024-07-12,True,3,Books
customer1,16,online,P0221,Books,Los Angeles,"['Books', 'Clothing', 'Electronics']","['P0477', 'P0001']","['P0138', 'P0327']",Purchased,2024-07-04,True,,Clothing
customer1,24,offline,P0196,Home Decor,,"['Books', 'Clothing']","['P0119', 'P0381', 'P0293']","['P0406', 'P0242']",Purchased,2024-12-19,False,2,Groceries
customer1,42,online,P0439,Books,Los Angeles,"['Clothing', 'Electronics', 'Home Decor']",['P0487'],[],Purchased,2024-03-07,False,,Home Decor
customer1,7,online,P0203,Home Decor,New York,"['Electronics', 'Clothing', 'Clothing', 'Books']","['P0038', 'P0354', 'P0494']",['P0436'],Not Purchased,2024-11-02,True,3,Electronics
customer1,34,offline,P0363,Books,San Francisco,"['Electronics', 'Books', 'Electronics', 'Groceries']",['P0036'],"['P0322', 'P0094']",Purchased,2024-08-02,False,1,Groceries
customer1,13,offline,P0097,Electronics,Chicago,"['Electronics', 'Groceries', 'Home Decor', 'Books']",['P0085'],[],Purchased,2024-11-26,True,3,Groceries
customer1,80,offline,P0180,Groceries,Los Angeles,"['Electronics', 'Clothing']",['P0454'],"['P0340', 'P0054']",Purchased,2024-02-16,True,2,Clothing
customer1,61,online,P0232,Groceries,New York,"['Electronics', 'Electronics', 'Books', 'Books']","['P0123', 'P0111']",['P0254'],Purchased,2024-11-22,False,5,Clothing
customer1,94,offline,P0298,Groceries,New York,"['Books', 'Groceries']","['P0465', 'P0044']","['P0014', 'P0418']",Purchased,2024-04-12,True,,Books
customer1,24,online,P0357,Clothing,New York,"['Groceries', 'Home Decor', 'Books']","['P0367', 'P0329']",[],Purchased,2024-12-14,False,4,Groceries
customer1,79,offline,P0227,Groceries,New York,"['Home Decor', 'Electronics', 'Home Decor', 'Groceries']",['P0477'],"['P0348', 'P0213']",Purchased,2024-04-13,False,1,Electronics
customer1,46,offline,P0046,Home Decor,,"['Electronics', 'Groceries', 'Electronics']","['P0344', 'P0017', 'P0100']","['P0453', 'P0178']",Not Purchased,2024-04-04,False,4,Groceries
customer1,88,offline,P0055,Groceries,,"['Clothing', 'Groceries', 'Home Decor', 'Home Decor']","['P0336', 'P0356', 'P0210']",[],Purchased,2024-09-09,True,2,Groceries
customer1,98,offline,P0465,Electronics,Chicago,"['Groceries', 'Electronics']",['P0352'],[],Not Purchased,2024-03-29,True,5,Groceries
customer1,27,online,P0030,Clothing,New York,"['Clothing', 'Groceries', 'Clothing', 'Clothing']","['P0287', 'P0029', 'P0267']",[],Purchased,2024-02-25,False,3,Books
customer1,25,online,P0033,Clothing,San Francisco,['Electronics'],['P0114'],[],Purchased,2024-11-02,False,1,Home Decor
customer1,77,online,P0449,Electronics,Chicago,"['Electronics', 'Groceries']",['P0443'],[],Not Purchased,2024-07-07,True,,Electronics
customer1,5,online,P0074,Books,Los Angeles,"['Clothing', 'Groceries', 'Clothing']",['P0034'],"['P0332', 'P0393']",Not Purchased,2024-09-22,False,,Groceries
customer1,85,offline,P0090,Home Decor,Chicago,"['Electronics', 'Groceries']","['P0349', 'P0426']",[],Purchased,2024-05-27,True,4,Books
customer1,90,online,P0337,Books,San Francisco,['Groceries'],"['P0188', 'P0406']",['P0287'],Purchased,2024-09-27,True,5,Clothing
customer1,93,online,P0045,Electronics,Chicago,['Electronics'],"['P0049', 'P0261', 'P0107']",[],Not Purchased,2024-03-13,True,5,Electronics
customer1,45,offline,P0492,Books,,"['Home Decor', 'Electronics', 'Books']","['P0025', 'P0001', 'P0389']","['P0321', 'P0491']",Not Purchased,2024-03-19,False,,Clothing
customer1,70,online,P0395,Groceries,New York,"['Clothing', 'Clothing', 'Clothing']","['P0469', 'P0171', 'P0482']",['P0044'],Not Purchased,2024-12-18,True,4,Electronics
customer1,48,online,P0161,Clothing,San Francisco,"['Home Decor', 'Electronics']","['P0217', 'P0498', 'P0187']",[],Purchased,2024-09-16,False,5,Books
